,Game,Copies sold,Release date[a],Genre(s),Developer(s),Publisher(s)
0,Marvel's Spider-Man,20 million,"September 7, 2018",Action-adventure,Insomniac Games,Sony Interactive Entertainment
1,Grand Theft Auto V,20 million,"November 18, 2014",Action-adventure,Rockstar North,Rockstar Games
2,God of War,19.5 million,"April 20, 2018",Action-adventurehack and slash,Santa Monica Studio,Sony Interactive Entertainment
3,Uncharted 4: A Thief's End,16 million,"May 10, 2016",Action-adventure,Naughty Dog,Sony Interactive Entertainment
4,Gran Turismo Sport,12.72 million,"October 17, 2017",Racing,Polyphony Digital,Sony Interactive Entertainment
5,The Witcher 3: Wild Hunt,10.8 million,"May 18, 2015",Action role-playing,CD Projekt Red,CD Projekt
6,The Last of Us Part II,10 million,"June 19, 2020",Action-adventuresurvival horror,Naughty Dog,Sony Interactive Entertainment
7,Horizon Zero Dawn,10 million,"February 28, 2017",Action role-playing,Guerrilla Games,Sony Interactive Entertainment
8,The Last of Us Remastered,10 million,"July 29, 2014",Action-adventuresurvival horror,Naughty Dog,Sony Computer Entertainment
9,Ghost of Tsushima,9.73 million,"July 17, 2020",Action-adventurestealth,Sucker Punch Productions,Sony Interactive Entertainment
10,Star Wars Battlefront,8.42 million,"November 17, 2015",First-person shooterthird-person shooter,EA DICE,Electronic Arts
11,Infamous Second Son,6 million,"March 21, 2014",Action-adventure,Sucker Punch Productions,Sony Computer Entertainment
12,Detroit: Become Human,5.5 million,"May 25, 2018",Adventure,Quantic Dream,Sony Interactive Entertainment
13,Final Fantasy VII Remake,5 million,"April 10, 2020",Action role-playing,Square Enix,Square Enix
14,Monster Hunter: World,4.67 million,"January 26, 2018",Action role-playing,Capcom,Capcom
15,Cyberpunk 2077,3.83 million,"December 10, 2020",Action role-playing,CD Projekt Red,CD Projekt
16,FIFA 17,3.12 million,"September 27, 2016",Sports,EA CanadaEA Bucharest,EA Sports
17,Nier: Automata,2.6 million,"February 23, 2017",Action role-playing,PlatinumGames,Square Enix
18,Crash Bandicoot N. Sane Trilogy,2.5 million,"June 30, 2017",Platform,Vicarious Visions,Activision
19,Final Fantasy XV,2.5 million,"November 29, 2016",Action role-playing,Square Enix Business Division 2,Square Enix
20,FIFA 18,2.47 million,"September 29, 2017",Sports,EA CanadaEA Bucharest,EA Sports
21,Persona 5 Royal,2.3 million,"October 31, 2019",Role-playingsocial simulation,P-Studio,Atlus
22,Killzone: Shadow Fall,2.1 million,"November 15, 2013",First-person shooter,Guerrilla Games,Sony Computer Entertainment
23,Bloodborne,2 million,"March 24, 2015",Action role-playing,FromSoftware,Sony Computer Entertainment
24,Driveclub,2 million,"October 7, 2014",Racing,Evolution Studios,Sony Computer Entertainment
25,Knack,2 million,"November 15, 2013",Platformbeat 'em up,Japan Studio,Sony Computer Entertainment
26,Minecraft: PlayStation 4 Edition,2 million,"September 4, 2014",Sandboxsurvival,4J Studios,Sony Computer Entertainment
27,FIFA 20,1.76 million,"September 24, 2019",Sports,EA CanadaEA Bucharest,EA Sports
28,Nioh 2,1.46 million,"March 12, 2020",Action role-playing,Team Ninja,WW: Sony Interactive EntertainmentJP: Koei Tecmo
29,FIFA 19,1.45 million,"September 25, 2018",Sports,EA CanadaEA Bucharest,EA Sports
30,Battlefield 1,1.3 million,"October 21, 2016",First-person shooter,EA DICE,Electronic Arts
31,Dragon Quest XI: Echoes of an Elusive Age,1.3 million,"July 29, 2017",Role-playing,Square Enix,Square Enix
32,Final Fantasy XII: The Zodiac Age,1.2 million,"July 11, 2017",Role-playing,Square Enix,Square Enix
33,FIFA 22,1.16 million,"October 1, 2021",Sports,EA CanadaEA Bucharest,EA Sports
34,FIFA 21,1.12 million,"October 9, 2020",Sports,EA CanadaEA Bucharest,EA Sports
35,Metal Gear Solid V: The Phantom Pain,1.1 million,"September 1, 2015",Action-adventurestealth,Kojima Productions,Konami
36,Kingdom Hearts III,1 million,"January 25, 2019",Action role-playing,Square Enix,Square Enix
37,Nioh,1 million,"February 7, 2017",Action role-playing,Team Ninja,WW: Sony Interactive EntertainmentJP: Koei Tecmo
